case_id,crime_description,crime_category,location_type,victim_count,accused_count,weapon_used,intent,property_value,injury_level,keywords,predicted_bns_sections,applicable_bnss_procedures,applicable_bsa_evidence,punishment_range,case_outcome,case_duration_months,confidence_label
CP-CASE-101288,Victim was poisoned by a family member to inherit ancestral property. Autopsy confirmed presence of chemical toxins.,Murder & Homicide,Rural Area,1,2,Chemical Poison,Jealousy / Crime of Passion,0,Fatal (Death),"homicide, stabbed to death, strangulation, poisoning, autopsy report",Section 103 (Culpable Homicide Not Amounting to Murder),Section 196 (Power to Summon Persons),Section 26 (Admission by Party to Proceeding),Life Imprisonment or Death Penalty & Fine,Settled / Compromised,13,Medium
CP-CASE-101289,Victim was abducted from a bus stop by masked men. The family received threats demanding property papers.,Kidnapping & Abduction,Rural Area,2,2,None,Property Dispute,878756,None,"unidentified vehicle, abduction, ransom call, kidnap",Section 142 (Kidnapping or Abducting in order to Murder),Section 184 (Medical Examination of Kidnapped Person),Section 114 (Presumption as to Absence of Consent),7 to 10 Years Imprisonment & Fine,Acquittal,23,Low
CP-CASE-101290,Accused created a fake social media profile using the complainant's photos and extorted money from their contacts.,Cyber Crime & Fraud,Public Space,3,2,None,Jealousy / Crime of Passion,1382370,None,"phishing, email hacking, ransomware, unauthorized transaction, cloned identity",Section 336 (Forgery),Section 173 (Electronic FIR filing),Section 65 (Special Provisions as to Evidence Relating to Electronic Record),2 to 5 Years Imprisonment & Fine,Dismissed for Lack of Evidence,46,Low
CP-CASE-101291,"A physical altercation broke out between neighbors over a parking space, resulting in the accused hitting the victim with an iron rod causing grievous hurt.",Assault & Hurt,Rural Area,3,1,None,Spontaneous Argument,0,Moderate (Stitch/Sprain),"broken arm, scuffle, beating, bruises, fight",Section 115 (Voluntarily Causing Hurt),Section 202 (Postponement of Issue of Process),Section 32 (Relevancy of Statement of Dead Person),Fine up to INR 10000 or up to 7 Years Imprisonment,Dismissed for Lack of Evidence,13,High
CP-CASE-101292,"Accused voluntarily caused bodily harm to a passerby after a heated argument, using a wooden stick.",Assault & Hurt,Commercial,2,1,Iron Rod,Financial Gain,0,Fatal (Death),"scuffle, fight, beating, bleeding, hospitalized",Section 117 (Voluntarily Causing Grievous Hurt),Section 176 (Inquiry by Police in Custodial Deaths/Violence),Section 32 (Relevancy of Statement of Dead Person),Fine up to INR 10000 or up to 7 Years Imprisonment,Dismissed for Lack of Evidence,44,Low
CP-CASE-101293,A business owner reported that an employee forged their signature on corporate checks and embezzled INR 1747767.,Cyber Crime & Fraud,Residential,1,1,None,Spontaneous Argument,1747767,None,"fake profile, ransomware, forged signature",Section 336 (Forgery),Section 173 (Electronic FIR filing),Section 65 (Special Provisions as to Evidence Relating to Electronic Record),2 to 5 Years Imprisonment & Fine,Settled / Compromised,46,High
CP-CASE-101294,A dead body with multiple stab wounds was discovered in an abandoned building. Police suspect a pre-planned murder.,Murder & Homicide,Commercial,1,4,Country-made Gun,Financial Gain,0,Fatal (Death),"autopsy report, fatal attack, homicide",Section 101 (Murder),Section 194 (Inquest Reports on Accidental or Unnatural Deaths),Section 26 (Admission by Party to Proceeding),Life Imprisonment or Death Penalty & Fine,Acquittal,39,High
CP-CASE-101295,Victim was abducted from a bus stop by masked men. The family received threats demanding property papers.,Kidnapping & Abduction,Digital / Online,3,2,Kitchen Knife,Personal Vendetta,252756,None,"missing child, unidentified vehicle, abducted from school, ransom call, forced custody",Section 142 (Kidnapping or Abducting in order to Murder),Section 173 (Zero FIR registration),Section 45 (Expert Opinion on Handwriting),7 to 10 Years Imprisonment & Fine,Referred to Mediation,27,Low
CP-CASE-101296,A thief broke into a commercial shop at night by drilling a hole in the rear wall and stole cash amount of INR 171336.,Theft & Burglary,Commercial,3,3,None,Jealousy / Crime of Passion,171336,None,"broken lock, jewelry, locker forced, house break, missing cash",Section 303 (Theft),Section 184 (Medical Examination of Victim),Section 57 (Admissibility of Electronic Records),1 to 7 Years Imprisonment & Fine,Conviction,43,High
CP-CASE-101297,"The accused shot the victim following a long-standing property dispute, leading to instantaneous death.",Murder & Homicide,Public Space,1,3,Firearm / Pistol,Spontaneous Argument,0,Fatal (Death),"murder, stabbed to death, fatal attack, poisoning",Section 103 (Culpable Homicide Not Amounting to Murder),Section 194 (Inquest Reports on Accidental or Unnatural Deaths),Section 26 (Admission by Party to Proceeding),Life Imprisonment or Death Penalty & Fine,Acquittal,24,Medium
CP-CASE-101298,"Accused voluntarily caused bodily harm to a passerby after a heated argument, using a wooden stick.",Assault & Hurt,Public Space,2,3,Iron Rod,Jealousy / Crime of Passion,0,Severe (Fracture/Deep Cuts),"scuffle, beating, hospitalized, iron rod",Section 117 (Voluntarily Causing Grievous Hurt),Section 202 (Postponement of Issue of Process),Section 32 (Relevancy of Statement of Dead Person),Fine up to INR 10000 or up to 7 Years Imprisonment,Dismissed for Lack of Evidence,21,Low
CP-CASE-101299,A businessman was kidnapped from his farmhouse by armed assailants demanding INR 1147689 for his release.,Kidnapping & Abduction,Digital / Online,2,4,Kitchen Knife,Personal Vendetta,1147689,None,"extortion demand, missing child, unidentified vehicle, held hostage, forced custody",Section 140 (Kidnapping),Section 173 (Zero FIR registration),Section 114 (Presumption as to Absence of Consent),7 to 10 Years Imprisonment & Fine,Dismissed for Lack of Evidence,20,High
CP-CASE-101300,A body was found near a lake showing signs of strangulation and blunt force trauma to the head.,Murder & Homicide,Commercial,2,1,Iron Rod,Accidental / Negligence,0,Fatal (Death),"dead body found, autopsy report, gunshot, strangulation, poisoning",Section 101 (Murder),Section 196 (Power to Summon Persons),Section 26 (Admission by Party to Proceeding),Life Imprisonment or Death Penalty & Fine,Referred to Mediation,44,Medium
CP-CASE-101301,"The victim was assaulted by a group of individuals near a local market, sustaining severe head injuries and a fractured arm.",Assault & Hurt,Digital / Online,2,4,Kitchen Knife,Financial Gain,0,Severe (Fracture/Deep Cuts),"bruises, iron rod, broken arm, beating, hospitalized",Section 117 (Voluntarily Causing Grievous Hurt),Section 176 (Inquiry by Police in Custodial Deaths/Violence),Section 32 (Relevancy of Statement of Dead Person),Fine up to INR 10000 or up to 7 Years Imprisonment,Settled / Compromised,19,Low
CP-CASE-101302,A body was found near a lake showing signs of strangulation and blunt force trauma to the head.,Murder & Homicide,Commercial,2,2,Wooden Stick,Spontaneous Argument,0,Fatal (Death),"dead body found, strangulation, stabbed to death",Section 103 (Culpable Homicide Not Amounting to Murder),Section 194 (Inquest Reports on Accidental or Unnatural Deaths),Section 26 (Admission by Party to Proceeding),Life Imprisonment or Death Penalty & Fine,Settled / Compromised,39,Low
CP-CASE-101303,A thief broke into a commercial shop at night by drilling a hole in the rear wall and stole cash amount of INR 687545.,Theft & Burglary,Digital / Online,3,1,None,Personal Vendetta,687545,None,"thief, steal, night burglary",Section 303 (Theft),Section 173 (Information in Cognizable Cases),Section 60 (Primary Evidence),1 to 7 Years Imprisonment & Fine,Conviction,25,Low
CP-CASE-101304,A dead body with multiple stab wounds was discovered in an abandoned building. Police suspect a pre-planned murder.,Murder & Homicide,Rural Area,1,1,Country-made Gun,Accidental / Negligence,0,Fatal (Death),"motive, strangulation, stabbed to death, gunshot, murder",Section 101 (Murder),Section 194 (Inquest Reports on Accidental or Unnatural Deaths),Section 32 (Dying Declaration),Life Imprisonment or Death Penalty & Fine,Acquittal,26,Low
CP-CASE-101305,A dead body with multiple stab wounds was discovered in an abandoned building. Police suspect a pre-planned murder.,Murder & Homicide,Residential,2,4,Wooden Stick,Personal Vendetta,0,Fatal (Death),"gunshot, dead body found, murder, motive, homicide",Section 101 (Murder),Section 194 (Inquest Reports on Accidental or Unnatural Deaths),Section 26 (Admission by Party to Proceeding),Life Imprisonment or Death Penalty & Fine,Settled / Compromised,20,High
CP-CASE-101306,Victim was abducted from a bus stop by masked men. The family received threats demanding property papers.,Kidnapping & Abduction,Public Space,2,1,Firearm / Pistol,Accidental / Negligence,1956569,None,"forced custody, abducted from school, missing child, unidentified vehicle, kidnap",Section 142 (Kidnapping or Abducting in order to Murder),Section 184 (Medical Examination of Kidnapped Person),Section 114 (Presumption as to Absence of Consent),7 to 10 Years Imprisonment & Fine,Conviction,6,Medium
CP-CASE-101307,"A physical altercation broke out between neighbors over a parking space, resulting in the accused hitting the victim with an iron rod causing grievous hurt.",Assault & Hurt,Public Space,3,4,Kitchen Knife,Financial Gain,0,Fatal (Death),"bruises, stab wound, hospitalized, beating",Section 117 (Voluntarily Causing Grievous Hurt),Section 176 (Inquiry by Police in Custodial Deaths/Violence),Section 45 (Opinions of Experts),Fine up to INR 10000 or up to 7 Years Imprisonment,Settled / Compromised,21,Medium
CP-CASE-101308,A thief broke into a commercial shop at night by drilling a hole in the rear wall and stole cash amount of INR 1491700.,Theft & Burglary,Commercial,1,1,None,Jealousy / Crime of Passion,1491700,None,"missing cash, house break, thief",Section 303 (Theft),Section 173 (Information in Cognizable Cases),Section 57 (Admissibility of Electronic Records),1 to 7 Years Imprisonment & Fine,Dismissed for Lack of Evidence,37,Medium
CP-CASE-101309,Complainant was attacked while returning home. The suspect slashed the victim's shoulder with a knife before fleeing.,Assault & Hurt,Residential,1,2,Kitchen Knife,Financial Gain,0,Fatal (Death),"broken arm, fight, bruises, stab wound, hospitalized",Section 115 (Voluntarily Causing Hurt),Section 176 (Inquiry by Police in Custodial Deaths/Violence),Section 45 (Opinions of Experts),Fine up to INR 10000 or up to 7 Years Imprisonment,Acquittal,18,Medium
CP-CASE-101310,"The victim was assaulted by a group of individuals near a local market, sustaining severe head injuries and a fractured arm.",Assault & Hurt,Residential,2,3,Country-made Gun,Spontaneous Argument,0,Moderate (Stitch/Sprain),"bruises, fight, physical attack, bleeding, iron rod",Section 115 (Voluntarily Causing Hurt),Section 202 (Postponement of Issue of Process),Section 45 (Opinions of Experts),Fine up to INR 10000 or up to 7 Years Imprisonment,Acquittal,14,Medium
CP-CASE-101311,"Locked apartment was broken into during the daytime. Valuables including a laptop, silver utensils, and INR 1451868 cash were stolen.",Theft & Burglary,Rural Area,2,1,None,Property Dispute,1451868,None,"missing cash, steal, house break",Section 303 (Theft),Section 184 (Medical Examination of Victim),Section 57 (Admissibility of Electronic Records),1 to 7 Years Imprisonment & Fine,Acquittal,48,Low
CP-CASE-101312,A business owner reported that an employee forged their signature on corporate checks and embezzled INR 165536.,Cyber Crime & Fraud,Residential,2,2,None,Accidental / Negligence,165536,None,"ransomware, phishing, forged signature",Section 336 (Forgery),Section 173 (Electronic FIR filing),Section 65 (Special Provisions as to Evidence Relating to Electronic Record),2 to 5 Years Imprisonment & Fine,Referred to Mediation,28,Low
CP-CASE-101313,"Locked apartment was broken into during the daytime. Valuables including a laptop, silver utensils, and INR 674103 cash were stolen.",Theft & Burglary,Residential,2,4,None,Jealousy / Crime of Passion,674103,None,"gold chain, robbery, thief, steal",Section 331 (Lurking House-trespass),Section 184 (Medical Examination of Victim),Section 60 (Primary Evidence),1 to 7 Years Imprisonment & Fine,Conviction,6,Medium
CP-CASE-101314,A 10-year-old child was abducted outside their school by two individuals in a black SUV. A ransom call was received later.,Kidnapping & Abduction,Commercial,2,3,None,Property Dispute,516542,None,"kidnap, held hostage, missing child, extortion demand",Section 140 (Kidnapping),Section 173 (Zero FIR registration),Section 114 (Presumption as to Absence of Consent),7 to 10 Years Imprisonment & Fine,Conviction,40,Low
CP-CASE-101315,Victim was abducted from a bus stop by masked men. The family received threats demanding property papers.,Kidnapping & Abduction,Commercial,3,1,Iron Rod,Property Dispute,803410,None,"unidentified vehicle, forced custody, extortion demand, abducted from school",Section 140 (Kidnapping),Section 184 (Medical Examination of Kidnapped Person),Section 114 (Presumption as to Absence of Consent),7 to 10 Years Imprisonment & Fine,Dismissed for Lack of Evidence,15,Medium
CP-CASE-101316,Accused lured a young girl under false pretenses of a job offer and held her captive in a remote village.,Kidnapping & Abduction,Digital / Online,2,3,Chemical Poison,Spontaneous Argument,1464423,None,"held hostage, unidentified vehicle, extortion demand, ransom call, abducted from school",Section 142 (Kidnapping or Abducting in order to Murder),Section 173 (Zero FIR registration),Section 114 (Presumption as to Absence of Consent),7 to 10 Years Imprisonment & Fine,Acquittal,9,Low
CP-CASE-101317,"The victim received a phishing call pretending to be a bank official, leading to an unauthorized debit of INR 553908 from their bank account.",Cyber Crime & Fraud,Rural Area,2,4,None,Financial Gain,553908,None,"ransomware, fake profile, email hacking, online scam, credit card fraud",Section 318 (Cheating),Section 173 (Electronic FIR filing),Section 63 (Admissibility of Electronic Signatures),2 to 5 Years Imprisonment & Fine,Referred to Mediation,44,High
CP-CASE-101318,Accused created a fake social media profile using the complainant's photos and extorted money from their contacts.,Cyber Crime & Fraud,Residential,1,2,None,Jealousy / Crime of Passion,1816405,None,"cloned identity, ransomware, phishing",Section 318 (Cheating),Section 105 (Search and Seizure of Electronic Devices),Section 65 (Special Provisions as to Evidence Relating to Electronic Record),2 to 5 Years Imprisonment & Fine,Settled / Compromised,41,Low
CP-CASE-101319,Complainant purchased goods from an online portal which turned out to be a fraudulent setup. Loss of INR 342855 reported.,Cyber Crime & Fraud,Rural Area,1,1,None,Financial Gain,342855,None,"cloned identity, online scam, credit card fraud, unauthorized transaction, forged signature",Section 336 (Forgery),Section 173 (Electronic FIR filing),Section 63 (Admissibility of Electronic Signatures),2 to 5 Years Imprisonment & Fine,Settled / Compromised,7,High
CP-CASE-101320,A dead body with multiple stab wounds was discovered in an abandoned building. Police suspect a pre-planned murder.,Murder & Homicide,Digital / Online,2,3,Wooden Stick,Jealousy / Crime of Passion,0,Fatal (Death),"dead body found, autopsy report, murder, fatal attack",Section 101 (Murder),Section 194 (Inquest Reports on Accidental or Unnatural Deaths),Section 26 (Admission by Party to Proceeding),Life Imprisonment or Death Penalty & Fine,Conviction,34,Medium
CP-CASE-101321,Accused was caught red-handed stealing a mobile phone and wallet from a passenger at the crowded railway station.,Theft & Burglary,Residential,3,3,None,Spontaneous Argument,1726692,None,"thief, locker forced, broken lock, night burglary",Section 305 (Theft in Dwelling),Section 173 (Information in Cognizable Cases),Section 57 (Admissibility of Electronic Records),1 to 7 Years Imprisonment & Fine,Referred to Mediation,26,Medium
CP-CASE-101322,"The victim received a phishing call pretending to be a bank official, leading to an unauthorized debit of INR 487726 from their bank account.",Cyber Crime & Fraud,Digital / Online,3,4,None,Financial Gain,487726,None,"fake profile, credit card fraud, online scam, phishing, fake website",Section 319 (Cheating by Personation),Section 105 (Search and Seizure of Electronic Devices),Section 63 (Admissibility of Electronic Signatures),2 to 5 Years Imprisonment & Fine,Dismissed for Lack of Evidence,19,Low
CP-CASE-101323,"The complainant stated that when they returned home from vacation, they found the front lock broken and jewelry worth INR 694410 stolen.",Theft & Burglary,Residential,1,1,None,Spontaneous Argument,694410,None,"gold chain, thief, steal, broken lock",Section 303 (Theft),Section 173 (Information in Cognizable Cases),Section 57 (Admissibility of Electronic Records),1 to 7 Years Imprisonment & Fine,Dismissed for Lack of Evidence,47,Medium
CP-CASE-101324,A 10-year-old child was abducted outside their school by two individuals in a black SUV. A ransom call was received later.,Kidnapping & Abduction,Public Space,1,1,Firearm / Pistol,Financial Gain,1143986,None,"kidnap, held hostage, extortion demand",Section 140 (Kidnapping),Section 173 (Zero FIR registration),Section 45 (Expert Opinion on Handwriting),7 to 10 Years Imprisonment & Fine,Conviction,14,Low
CP-CASE-101325,Accused created a fake social media profile using the complainant's photos and extorted money from their contacts.,Cyber Crime & Fraud,Rural Area,2,4,None,Jealousy / Crime of Passion,332516,None,"forged signature, unauthorized transaction, phishing, credit card fraud, ransomware",Section 318 (Cheating),Section 105 (Search and Seizure of Electronic Devices),Section 63 (Admissibility of Electronic Signatures),2 to 5 Years Imprisonment & Fine,Referred to Mediation,9,Low
CP-CASE-101326,"The accused shot the victim following a long-standing property dispute, leading to instantaneous death.",Murder & Homicide,Rural Area,2,4,Wooden Stick,Jealousy / Crime of Passion,0,Fatal (Death),"dead body found, motive, gunshot, murder",Section 103 (Culpable Homicide Not Amounting to Murder),Section 196 (Power to Summon Persons),Section 32 (Dying Declaration),Life Imprisonment or Death Penalty & Fine,Settled / Compromised,24,High
CP-CASE-101327,"The complainant stated that when they returned home from vacation, they found the front lock broken and jewelry worth INR 261792 stolen.",Theft & Burglary,Public Space,3,4,None,Accidental / Negligence,261792,None,"house break, night burglary, gold chain, broken lock, thief",Section 305 (Theft in Dwelling),Section 184 (Medical Examination of Victim),Section 60 (Primary Evidence),1 to 7 Years Imprisonment & Fine,Acquittal,16,Low
CP-CASE-101328,Complainant was attacked while returning home. The suspect slashed the victim's shoulder with a knife before fleeing.,Assault & Hurt,Digital / Online,1,3,Chemical Poison,Spontaneous Argument,0,Severe (Fracture/Deep Cuts),"bleeding, iron rod, beating",Section 117 (Voluntarily Causing Grievous Hurt),Section 176 (Inquiry by Police in Custodial Deaths/Violence),Section 45 (Opinions of Experts),Fine up to INR 10000 or up to 7 Years Imprisonment,Dismissed for Lack of Evidence,40,High
CP-CASE-101329,"Locked apartment was broken into during the daytime. Valuables including a laptop, silver utensils, and INR 622454 cash were stolen.",Theft & Burglary,Residential,2,4,None,Financial Gain,622454,None,"gold chain, house break, robbery",Section 305 (Theft in Dwelling),Section 184 (Medical Examination of Victim),Section 57 (Admissibility of Electronic Records),1 to 7 Years Imprisonment & Fine,Settled / Compromised,10,High
CP-CASE-101330,A thief broke into a commercial shop at night by drilling a hole in the rear wall and stole cash amount of INR 926303.,Theft & Burglary,Public Space,2,4,None,Financial Gain,926303,None,"thief, steal, house break, jewelry",Section 305 (Theft in Dwelling),Section 173 (Information in Cognizable Cases),Section 60 (Primary Evidence),1 to 7 Years Imprisonment & Fine,Acquittal,14,Medium
CP-CASE-101331,A thief broke into a commercial shop at night by drilling a hole in the rear wall and stole cash amount of INR 439700.,Theft & Burglary,Digital / Online,2,4,None,Property Dispute,439700,None,"steal, thief, jewelry, house break",Section 331 (Lurking House-trespass),Section 184 (Medical Examination of Victim),Section 57 (Admissibility of Electronic Records),1 to 7 Years Imprisonment & Fine,Settled / Compromised,12,Low
CP-CASE-101332,Accused lured a young girl under false pretenses of a job offer and held her captive in a remote village.,Kidnapping & Abduction,Rural Area,1,1,Country-made Gun,Jealousy / Crime of Passion,115114,None,"unidentified vehicle, forced custody, held hostage, extortion demand, abducted from school",Section 142 (Kidnapping or Abducting in order to Murder),Section 173 (Zero FIR registration),Section 45 (Expert Opinion on Handwriting),7 to 10 Years Imprisonment & Fine,Dismissed for Lack of Evidence,27,High
CP-CASE-101333,"Accused voluntarily caused bodily harm to a passerby after a heated argument, using a wooden stick.",Assault & Hurt,Residential,2,4,Kitchen Knife,Property Dispute,0,None,"hospitalized, fight, broken arm, beating",Section 117 (Voluntarily Causing Grievous Hurt),Section 202 (Postponement of Issue of Process),Section 32 (Relevancy of Statement of Dead Person),Fine up to INR 10000 or up to 7 Years Imprisonment,Settled / Compromised,40,High
CP-CASE-101334,A thief broke into a commercial shop at night by drilling a hole in the rear wall and stole cash amount of INR 1183084.,Theft & Burglary,Digital / Online,1,3,None,Spontaneous Argument,1183084,None,"gold chain, locker forced, night burglary, thief",Section 303 (Theft),Section 184 (Medical Examination of Victim),Section 57 (Admissibility of Electronic Records),1 to 7 Years Imprisonment & Fine,Acquittal,14,Low
CP-CASE-101335,"The victim received a phishing call pretending to be a bank official, leading to an unauthorized debit of INR 544322 from their bank account.",Cyber Crime & Fraud,Commercial,3,2,None,Accidental / Negligence,544322,None,"fake website, cloned identity, email hacking",Section 319 (Cheating by Personation),Section 173 (Electronic FIR filing),Section 65 (Special Provisions as to Evidence Relating to Electronic Record),2 to 5 Years Imprisonment & Fine,Dismissed for Lack of Evidence,16,Medium
CP-CASE-101336,A businessman was kidnapped from his farmhouse by armed assailants demanding INR 1957751 for his release.,Kidnapping & Abduction,Digital / Online,3,3,Chemical Poison,Personal Vendetta,1957751,None,"abducted from school, held hostage, extortion demand",Section 140 (Kidnapping),Section 173 (Zero FIR registration),Section 114 (Presumption as to Absence of Consent),7 to 10 Years Imprisonment & Fine,Conviction,22,High
CP-CASE-101337,A businessman was kidnapped from his farmhouse by armed assailants demanding INR 397149 for his release.,Kidnapping & Abduction,Residential,3,3,Wooden Stick,Personal Vendetta,397149,None,"missing child, abduction, extortion demand",Section 140 (Kidnapping),Section 173 (Zero FIR registration),Section 114 (Presumption as to Absence of Consent),7 to 10 Years Imprisonment & Fine,Settled / Compromised,36,Medium
CP-CASE-101338,A business owner reported that an employee forged their signature on corporate checks and embezzled INR 1768356.,Cyber Crime & Fraud,Digital / Online,1,4,None,Financial Gain,1768356,None,"forged signature, cloned identity, phishing, email hacking",Section 336 (Forgery),Section 173 (Electronic FIR filing),Section 63 (Admissibility of Electronic Signatures),2 to 5 Years Imprisonment & Fine,Conviction,7,Low
CP-CASE-101339,Accused created a fake social media profile using the complainant's photos and extorted money from their contacts.,Cyber Crime & Fraud,Rural Area,1,4,None,Jealousy / Crime of Passion,516595,None,"fake website, ransomware, email hacking, unauthorized transaction, cloned identity",Section 319 (Cheating by Personation),Section 173 (Electronic FIR filing),Section 63 (Admissibility of Electronic Signatures),2 to 5 Years Imprisonment & Fine,Dismissed for Lack of Evidence,10,Low
CP-CASE-101340,"Locked apartment was broken into during the daytime. Valuables including a laptop, silver utensils, and INR 836559 cash were stolen.",Theft & Burglary,Commercial,3,4,None,Financial Gain,836559,None,"steal, gold chain, house break, locker forced",Section 303 (Theft),Section 184 (Medical Examination of Victim),Section 57 (Admissibility of Electronic Records),1 to 7 Years Imprisonment & Fine,Referred to Mediation,27,Medium
CP-CASE-101341,Accused lured a young girl under false pretenses of a job offer and held her captive in a remote village.,Kidnapping & Abduction,Digital / Online,3,3,None,Jealousy / Crime of Passion,1056755,None,"abduction, missing child, extortion demand",Section 140 (Kidnapping),Section 173 (Zero FIR registration),Section 45 (Expert Opinion on Handwriting),7 to 10 Years Imprisonment & Fine,Conviction,23,Low
CP-CASE-101342,Victim was poisoned by a family member to inherit ancestral property. Autopsy confirmed presence of chemical toxins.,Murder & Homicide,Rural Area,2,4,Kitchen Knife,Personal Vendetta,0,Fatal (Death),"motive, murder, fatal attack, autopsy report",Section 101 (Murder),Section 194 (Inquest Reports on Accidental or Unnatural Deaths),Section 26 (Admission by Party to Proceeding),Life Imprisonment or Death Penalty & Fine,Dismissed for Lack of Evidence,21,High
CP-CASE-101343,Complainant purchased goods from an online portal which turned out to be a fraudulent setup. Loss of INR 1331208 reported.,Cyber Crime & Fraud,Rural Area,2,1,None,Accidental / Negligence,1331208,None,"email hacking, credit card fraud, forged signature, fake profile, unauthorized transaction",Section 336 (Forgery),Section 173 (Electronic FIR filing),Section 63 (Admissibility of Electronic Signatures),2 to 5 Years Imprisonment & Fine,Acquittal,39,Low
CP-CASE-101344,Victim was poisoned by a family member to inherit ancestral property. Autopsy confirmed presence of chemical toxins.,Murder & Homicide,Commercial,2,4,None,Property Dispute,0,Fatal (Death),"motive, poisoning, homicide, murder, gunshot",Section 101 (Murder),Section 194 (Inquest Reports on Accidental or Unnatural Deaths),Section 32 (Dying Declaration),Life Imprisonment or Death Penalty & Fine,Settled / Compromised,33,High
CP-CASE-101345,"The victim was assaulted by a group of individuals near a local market, sustaining severe head injuries and a fractured arm.",Assault & Hurt,Residential,2,1,Iron Rod,Financial Gain,0,Minor (Scratches/Bruises),"scuffle, bruises, beating, stab wound, fight",Section 117 (Voluntarily Causing Grievous Hurt),Section 202 (Postponement of Issue of Process),Section 45 (Opinions of Experts),Fine up to INR 10000 or up to 7 Years Imprisonment,Settled / Compromised,20,High
CP-CASE-101346,"Locked apartment was broken into during the daytime. Valuables including a laptop, silver utensils, and INR 383630 cash were stolen.",Theft & Burglary,Digital / Online,3,2,None,Personal Vendetta,383630,None,"locker forced, night burglary, jewelry",Section 305 (Theft in Dwelling),Section 184 (Medical Examination of Victim),Section 57 (Admissibility of Electronic Records),1 to 7 Years Imprisonment & Fine,Acquittal,46,Medium
CP-CASE-101347,A body was found near a lake showing signs of strangulation and blunt force trauma to the head.,Murder & Homicide,Residential,1,2,Iron Rod,Spontaneous Argument,0,Fatal (Death),"homicide, autopsy report, murder, gunshot, poisoning",Section 103 (Culpable Homicide Not Amounting to Murder),Section 194 (Inquest Reports on Accidental or Unnatural Deaths),Section 32 (Dying Declaration),Life Imprisonment or Death Penalty & Fine,Conviction,39,Medium
CP-CASE-101348,"Accused voluntarily caused bodily harm to a passerby after a heated argument, using a wooden stick.",Assault & Hurt,Digital / Online,2,3,Kitchen Knife,Jealousy / Crime of Passion,0,Fatal (Death),"scuffle, physical attack, iron rod, fight, stab wound",Section 117 (Voluntarily Causing Grievous Hurt),Section 202 (Postponement of Issue of Process),Section 45 (Opinions of Experts),Fine up to INR 10000 or up to 7 Years Imprisonment,Settled / Compromised,45,Low
CP-CASE-101349,"The victim was assaulted by a group of individuals near a local market, sustaining severe head injuries and a fractured arm.",Assault & Hurt,Residential,3,4,Iron Rod,Personal Vendetta,0,Severe (Fracture/Deep Cuts),"fight, scuffle, bruises",Section 115 (Voluntarily Causing Hurt),Section 202 (Postponement of Issue of Process),Section 32 (Relevancy of Statement of Dead Person),Fine up to INR 10000 or up to 7 Years Imprisonment,Dismissed for Lack of Evidence,30,High
CP-CASE-101350,Accused was caught red-handed stealing a mobile phone and wallet from a passenger at the crowded railway station.,Theft & Burglary,Public Space,2,4,None,Jealousy / Crime of Passion,879066,None,"thief, jewelry, house break, gold chain, missing cash",Section 331 (Lurking House-trespass),Section 184 (Medical Examination of Victim),Section 60 (Primary Evidence),1 to 7 Years Imprisonment & Fine,Settled / Compromised,26,Medium
CP-CASE-101351,Accused was caught red-handed stealing a mobile phone and wallet from a passenger at the crowded railway station.,Theft & Burglary,Residential,2,3,None,Financial Gain,362020,None,"steal, thief, missing cash",Section 305 (Theft in Dwelling),Section 184 (Medical Examination of Victim),Section 57 (Admissibility of Electronic Records),1 to 7 Years Imprisonment & Fine,Conviction,24,Medium
CP-CASE-101352,Victim was poisoned by a family member to inherit ancestral property. Autopsy confirmed presence of chemical toxins.,Murder & Homicide,Rural Area,2,1,Iron Rod,Personal Vendetta,0,Fatal (Death),"dead body found, motive, strangulation, fatal attack",Section 103 (Culpable Homicide Not Amounting to Murder),Section 196 (Power to Summon Persons),Section 26 (Admission by Party to Proceeding),Life Imprisonment or Death Penalty & Fine,Acquittal,15,High
CP-CASE-101353,A body was found near a lake showing signs of strangulation and blunt force trauma to the head.,Murder & Homicide,Public Space,1,3,Country-made Gun,Spontaneous Argument,0,Fatal (Death),"strangulation, autopsy report, murder",Section 101 (Murder),Section 196 (Power to Summon Persons),Section 26 (Admission by Party to Proceeding),Life Imprisonment or Death Penalty & Fine,Referred to Mediation,8,Medium
CP-CASE-101354,"The victim was assaulted by a group of individuals near a local market, sustaining severe head injuries and a fractured arm.",Assault & Hurt,Rural Area,1,2,None,Jealousy / Crime of Passion,0,Moderate (Stitch/Sprain),"fight, scuffle, bleeding, bruises, physical attack",Section 117 (Voluntarily Causing Grievous Hurt),Section 176 (Inquiry by Police in Custodial Deaths/Violence),Section 32 (Relevancy of Statement of Dead Person),Fine up to INR 10000 or up to 7 Years Imprisonment,Referred to Mediation,23,High
CP-CASE-101355,A dead body with multiple stab wounds was discovered in an abandoned building. Police suspect a pre-planned murder.,Murder & Homicide,Residential,2,4,Iron Rod,Accidental / Negligence,0,Fatal (Death),"gunshot, homicide, dead body found, murder",Section 101 (Murder),Section 196 (Power to Summon Persons),Section 32 (Dying Declaration),Life Imprisonment or Death Penalty & Fine,Settled / Compromised,45,Low
